Date,Underlying_Price,Risk_Free_Rate,Dividend_Yield_Continuous,ATM_IV,Skew_90_110,Kurtosis_Wings,Options_Volume
2012-01-03,1279.75,0.013518483333917935,0.021160941866597553,0.16936964828998505,0.15131281270757094,0.08813371885357332,1526
2012-01-04,1278.27,0.012749820919968544,0.021352464954693853,0.16196420317010113,0.1384569218196227,0.09180277569019435,1514
2012-01-05,1281.35,0.011850228327925502,0.021232568964417425,0.15497948485915775,0.1242721535590269,0.09178093551327782,1524
2012-01-06,1278.82,0.011058144070552103,0.021228189181592923,0.1473975689272848,0.1214390759175035,0.10149852932840575,1532
2012-01-09,1281.07,0.010002565695867698,0.021253692870819935,0.14459822396995117,0.128915520048538,0.10445896420337358,1499
2012-01-10,1290.89,0.0086021463543205,0.02126693663294908,0.14748342265519204,0.12616513851963881,0.09734708477413773,1497
2012-01-11,1292.8,0.008257199153901908,0.02136755197970153,0.14081268041424758,0.12399922627923804,0.10208885842417104,1481
2012-01-12,1295.55,0.007915113835864017,0.02128419875943017,0.1250241880483415,0.12080010711313952,0.11616185469348786,1412
2012-01-13,1288.12,0.007480742021685408,0.02128419875943017,0.13283520390007988,0.12809388268860258,0.11662097225100057,1527
2012-01-17,1293.32,0.006945626498571889,0.021250526832532694,0.15110120982973788,0.15177077978315223,0.09691951798822382,1510
2012-01-18,1306.48,0.006636229664149729,0.021385512768896213,0.12263522120667439,0.14326429065962434,0.12267002364957255,1511
2012-01-19,1314.27,0.005857228698962905,0.02127660424345064,0.09359535526176307,0.1166817345581194,0.14568990247974908,1536
2012-01-20,1312.96,0.006112972565171968,0.021298233223592866,0.13568819937289534,0.11603861809047686,0.09951643894239731,1447
2012-01-23,1316.89,0.0061083993549305785,0.021290639475004383,0.13237568547740347,0.13450281204964507,0.10181816024651885,1484
2012-01-24,1312.76,0.0063874283576338745,0.02131765307059443,0.143072465994276,0.13376261486743127,0.08997158944465597,1519
2012-01-25,1326.25,0.006402948666128229,0.021302896212848206,0.1304184778076389,0.12252592092008277,0.09890488402769784,1461
